168295	930860
953497	106369
179386	750958
524	351981
223651	756125
64656	894675
19309	356160
641841	98511
580526	83591
486643	79178
167060	49562
436975	711663
427552	810524
158784	727462
848690	946939
563767	74173
48741	632144
812720	878575
64702	815821
182666	72523
444365	359529
567772	594098
7099	103572
387451	789675
375327	287153
57278	4901
666768	370472
823144	30091
684164	382646
748901	279898
659993	897283
502536	248635
433040	63329
405643	784333
63262	297685
491506	983038
331547	409885
693560	9052
543708	76021
923910	538326
437035	134630
24020	924533
906559	421169
307316	155334
752096	823015
413719	942337
974259	443783
659992	116901
910487	466859
721858	419397
678916	496882
179381	504931
204074	859688
426123	932203
419186	726318
967431	837429
786697	24667
98965	720107
352958	239191
561119	780585
341976	919911
686253	663491
813324	794452
259832	317276
683239	643868
973223	818962
131851	915969
898465	62280
10329	558502
150641	224994
201322	889857
170960	373523
230785	105729
54787	282498
496207	847241
878446	302719
597327	597430
169814	608578
294284	898231
766105	97977
149641	979387
758053	695418
495006	757270
897061	3957
731831	54309
794006	609521
171356	16543
263969	650441
582246	916761
339182	531236
309625	933691
766405	107197
710869	369135
65267	591281
235778	296615
327039	663094
989196	374268
414877	465656
330837	214905
346616	389982
535417	526456
349063	659162
980178	39072
448488	237713
883255	232841
716772	46483
561880	330283
341010	113324
165607	521198
93140	142444
93530	372243
584873	841047
297392	691472
134858	648550
353408	777963
268190	288820
64398	365436
173965	597665
57887	734580
326059	851277
180258	224539
298434	364424
163204	78905
362515	329243
271708	905119
156115	140489
148716	671672
574117	276392
49372	924704
922673	1421
49327	306134
807633	960620
850133	392647
559959	937814
