928486	101000
288918	432553
854609	324309
164103	162430
227071	693262
415320	990636
371366	123200
169154	685517
737314	148439
232385	90693
166717	639429
819473	133564
25386	94910
320837	641758
356569	813597
683831	372333
591075	725993
736941	649001
190070	452192
355885	191604
152376	17943
824311	357427
216593	375277
63996	846123
104541	545495
94498	504702
22875	333810
183699	462894
344798	597323
938580	489593
575702	863454
49967	444614
81533	114052
292400	488972
703056	312339
799539	169256
365223	796675
544437	56671
660666	471900
438945	362972
313221	314534
243946	995951
293615	503994
936024	447302
324832	753037
974339	232415
874236	988471
515750	187929
89206	261759
791032	328419
605980	974601
3775	927090
382283	516655
301915	430374
213157	840041
69586	764878
445433	230676
299121	258412
660106	62170
952389	439647
296814	322837
560580	26632
620504	262297
115976	666512
54790	747009
871876	413741
385197	258777
627520	591212
849674	416856
620414	732190
359431	192521
245377	897440
162079	472564
698937	827897
819351	193664
344408	376048
972215	254538
509435	433107
866027	931413
865791	876315
595987	853098
983002	930684
302478	208348
988528	146535
532877	668640
269650	483333
654220	418992
673073	303624
381897	24334
469083	450066
822922	929118
709680	393257
833525	805809
698477	548857
326859	385323
405521	139879
896259	960111
766475	971903
677853	61257
890678	736364
782691	673327
706387	197964
364819	361589
663362	326075
956863	353619
999289	953469
12626	976514
853978	262263
986808	502887
123065	852262
998979	337468
895485	362663
211039	106697
807916	78805
991292	943889
561293	781818
153138	73127
129253	184870
471944	790836
49137	481099
998255	134088
317430	399886
678915	744756
339016	761187
450530	685985
