1379.131	1379.131	689.565
767.666	767.666	383.833
1017.105	1017.105	508.552
2376.573	2376.573	1188.286
2010.652	2010.652	1005.326
1353.255	1353.255	676.628
1909.116	1909.116	954.558
2081.787	2081.787	1040.894
3260.175	3260.175	1630.088
1400.053	1400.053	700.026
4600.945	4600.945	2300.472
4640.376	4640.376	2320.188
2150.477	2150.477	1075.239
2313.231	2313.231	1156.615
529.493	529.493	264.746
553.778	553.778	276.889
4628.356	4628.356	2314.178
4267.907	4267.907	2133.954
1397.782	1397.782	698.891
2383.002	2383.002	1191.501
2558.660	2558.660	1279.330
4527.664	4527.664	2263.832
2011.312	2011.312	1005.656
2510.233	2510.233	1255.116
3619.618	3619.618	1809.809
4217.557	4217.557	2108.779
3998.351	3998.351	1999.176
1466.363	1466.363	733.182
4610.607	4610.607	2305.303
4111.624	4111.624	2055.812
2304.628	2304.628	1152.314
1255.064	1255.064	627.532
1872.793	1872.793	936.396
706.088	706.088	353.044
223.842	223.842	111.921
807.482	807.482	403.741
1966.931	1966.931	983.466
3287.884	3287.884	1643.942
2846.142	2846.142	1423.071
369.579	369.579	184.790
939.136	939.136	469.568
1582.410	1582.410	791.205
68.939	68.939	34.470
1971.106	1971.106	985.553
2349.501	2349.501	1174.750
515.427	515.427	257.714
2579.168	2579.168	1289.584
3380.544	3380.544	1690.272
3140.251	3140.251	1570.125
561.833	561.833	280.917
1215.368	1215.368	607.684
665.792	665.792	332.896
2255.571	2255.571	1127.786
937.897	937.897	468.948
1867.686	1867.686	933.843
2994.565	2994.565	1497.282
2899.148	2899.148	1449.574
633.645	633.645	316.823
1880.482	1880.482	940.241
4612.140	4612.140	2306.070
656.623	656.623	328.311
3519.061	3519.061	1759.531
1881.518	1881.518	940.759
4904.144	4904.144	2452.072
3657.018	3657.018	1828.509
3532.582	3532.582	1766.291
2756.105	2756.105	1378.052
2473.348	2473.348	1236.674
2718.970	2718.970	1359.485
4873.811	4873.811	2436.906
1155.383	1155.383	577.692
3444.524	3444.524	1722.262
208.849	208.849	104.424
3341.945	3341.945	1670.973
4336.286	4336.286	2168.143
211.809	211.809	105.905
4911.723	4911.723	2455.862
4548.364	4548.364	2274.182
698.921	698.921	349.461
1943.538	1943.538	971.769
1395.719	1395.719	697.859
3687.664	3687.664	1843.832
1494.918	1494.918	747.459
4739.977	4739.977	2369.989
2360.796	2360.796	1180.398
4472.842	4472.842	2236.421
1558.018	1558.018	779.009
3184.815	3184.815	1592.407
2263.760	2263.760	1131.880
4125.637	4125.637	2062.819
834.142	834.142	417.071
956.307	956.307	478.154
246.537	246.537	123.269
3733.012	3733.012	1866.506
859.840	859.840	429.920
2274.425	2274.425	1137.213
4617.510	4617.510	2308.755
1229.792	1229.792	614.896
3309.621	3309.621	1654.811
4451.196	4451.196	2225.598
