4423	481753
905780	905356
657536	126439
809830	504506
162732	719446
555183	358743
354381	703472
763600	697238
477097	992325
323439	669187
343537	868851
809847	241767
686303	611643
635889	654765
27343	574630
456109	145538
95624	22235
778874	797191
402869	690973
743622	136844
745256	952980
87939	865706
120202	588346
357960	683457
609643	88076
255368	691159
704351	37076
581343	991604
988799	693145
89792	461890
194770	498325
888298	703874
124661	435129
645929	223341
561476	71615
138130	490220
539751	261487
271705	269181
354249	172532
460858	742908
854713	799080
168333	112787
791508	162754
363045	57644
604344	772681
43786	652415
824270	506393
28671	563048
978512	599314
421988	601045
76747	798082
98964	529967
325075	293440
